"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Гость не видит товар в корзине при переходе с главной страницы","tests","Fri Mar 06 09:04:32 UTC 2026","skipped","Fri Mar 06 09:04:32 UTC 2026","","test_main_page","",""
"","1564","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer5","tests","Fri Mar 06 09:04:42 UTC 2026","failed","Fri Mar 06 09:04:44 UTC 2026","","test_product_page","",""
"","1405","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer1","tests","Fri Mar 06 09:04:35 UTC 2026","failed","Fri Mar 06 09:04:36 UTC 2026","","test_product_page","",""
"","918","Гость видит ссылку на логин на главной странице","tests","Fri Mar 06 09:04:31 UTC 2026","passed","Fri Mar 06 09:04:32 UTC 2026","TestLoginFromMainPage","test_main_page","",""
"","1614","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer0","tests","Fri Mar 06 09:04:33 UTC 2026","failed","Fri Mar 06 09:04:34 UTC 2026","","test_product_page","",""
"","11155","Гость не видит товар в корзине при переходе со страницы товара","tests","Fri Mar 06 09:04:57 UTC 2026","passed","Fri Mar 06 09:05:08 UTC 2026","","test_product_page","",""
"","10767","Авторизованный пользователь не видит сообщение об успехе после добавления товара","tests","Fri Mar 06 09:05:22 UTC 2026","passed","Fri Mar 06 09:05:33 UTC 2026","TestUserAddToBasketFromProductPage","test_product_page","",""
"","1911","Гость может добавить товар с промо 'newYear2019'","tests","Fri Mar 06 09:04:53 UTC 2026","failed","Fri Mar 06 09:04:55 UTC 2026","","test_product_page","",""
"","1957","Авторизованный пользователь может добавить товар в корзину","tests","Fri Mar 06 09:05:46 UTC 2026","broken","Fri Mar 06 09:05:48 UTC 2026","TestUserAddToBasketFromProductPage","test_product_page","",""
"","2478","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer8","tests","Fri Mar 06 09:04:48 UTC 2026","failed","Fri Mar 06 09:04:51 UTC 2026","","test_product_page","",""
"","1592","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer7","tests","Fri Mar 06 09:04:46 UTC 2026","passed","Fri Mar 06 09:04:48 UTC 2026","","test_product_page","",""
"","1498","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer4","tests","Fri Mar 06 09:04:40 UTC 2026","failed","Fri Mar 06 09:04:42 UTC 2026","","test_product_page","",""
"","1782","Гость может перейти на страницу логина с главной","tests","Fri Mar 06 09:04:29 UTC 2026","passed","Fri Mar 06 09:04:31 UTC 2026","TestLoginFromMainPage","test_main_page","",""
"","1838","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer9","tests","Fri Mar 06 09:04:51 UTC 2026","failed","Fri Mar 06 09:04:53 UTC 2026","","test_product_page","",""
"","1427","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer2","tests","Fri Mar 06 09:04:36 UTC 2026","failed","Fri Mar 06 09:04:38 UTC 2026","","test_product_page","",""
"","0","Сообщение об успехе исчезает после добавления товара","tests","Fri Mar 06 09:04:55 UTC 2026","skipped","Fri Mar 06 09:04:55 UTC 2026","","test_product_page","",""
"","1647","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer6","tests","Fri Mar 06 09:04:44 UTC 2026","failed","Fri Mar 06 09:04:46 UTC 2026","","test_product_page","",""
"","0","Гость не видит сообщение об успехе после добавления товара","tests","Fri Mar 06 09:04:55 UTC 2026","skipped","Fri Mar 06 09:04:55 UTC 2026","","test_product_page","",""
"","0","Гость должен видеть ссылку на логин на странице товара","tests","Fri Mar 06 09:04:55 UTC 2026","skipped","Fri Mar 06 09:04:55 UTC 2026","","test_product_page","",""
"","1344","Гость может перейти на страницу логина со страницы товара","tests","Fri Mar 06 09:04:55 UTC 2026","passed","Fri Mar 06 09:04:57 UTC 2026","","test_product_page","",""
"","1560","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer3","tests","Fri Mar 06 09:04:38 UTC 2026","failed","Fri Mar 06 09:04:40 UTC 2026","","test_product_page","",""
